product_id,list_price,valid_from,valid_to
P0034,12.0,2024-07-01,2025-02-26
P0034,12.9,2025-02-27,9999-12-31
P0035,10.3,2024-07-01,2025-07-02
P0035,9.88,2025-07-03,2026-05-17
P0035,10.31,2026-05-18,9999-12-31
P0036,11.7,2024-07-01,2025-10-24
P0036,12.61,2025-10-25,9999-12-31
P0037,12.76,2024-07-01,2025-01-16
P0037,13.52,2025-01-17,2026-04-08
P0037,13.84,2026-04-09,9999-12-31
P0038,6.86,2024-07-01,2024-09-17
P0038,7.45,2024-09-18,2025-12-21
P0038,7.99,2025-12-22,2026-03-03
P0038,8.64,2026-03-04,9999-12-31
P0039,6.51,2024-07-01,2025-01-14
P0039,7.0,2025-01-15,2025-03-07
P0039,7.25,2025-03-08,2026-03-17
P0039,7.88,2026-03-18,9999-12-31
P0040,8.76,2024-07-01,2025-10-09
P0040,9.39,2025-10-10,9999-12-31
P0041,14.99,2024-07-01,2025-06-29
P0041,15.76,2025-06-30,9999-12-31
P0042,13.85,2024-07-01,2025-01-04
P0042,12.71,2025-01-05,9999-12-31
P0043,3.01,2024-07-01,2025-04-09
P0043,3.19,2025-04-10,9999-12-31
P0044,9.06,2024-07-01,2026-05-13
P0044,8.31,2026-05-14,9999-12-31
P0045,6.29,2024-07-01,2024-12-15
P0045,6.46,2024-12-16,2025-03-28
P0045,6.29,2025-03-29,2026-02-09
P0045,6.45,2026-02-10,9999-12-31
P0046,18.94,2024-07-01,2025-12-12
P0046,20.35,2025-12-13,2026-02-08
P0046,22.01,2026-02-09,9999-12-31
P0047,18.97,2024-07-01,2025-07-28
P0047,19.94,2025-07-29,2026-04-21
P0047,21.0,2026-04-22,9999-12-31
P0048,17.12,2024-07-01,2026-01-11
P0048,17.65,2026-01-12,2026-01-20
P0048,19.04,2026-01-21,9999-12-31
P0049,4.4,2024-07-01,2025-10-15
P0049,4.72,2025-10-16,2025-11-09
P0049,4.89,2025-11-10,2026-02-28
P0049,5.3,2026-03-01,9999-12-31
P0050,0.89,2024-07-01,2025-02-03
P0050,0.95,2025-02-04,2025-03-02
P0050,1.01,2025-03-03,2025-08-26
P0050,1.08,2025-08-27,9999-12-31
P0051,16.25,2024-07-01,2025-09-23
P0051,17.08,2025-09-24,2025-11-08
P0051,17.53,2025-11-09,9999-12-31
P0052,14.84,2024-07-01,2025-06-07
P0052,15.91,2025-06-08,9999-12-31
P0053,3.06,2024-07-01,2025-06-21
P0053,3.22,2025-06-22,2025-08-13
P0053,3.02,2025-08-14,2026-02-09
P0053,3.18,2026-02-10,9999-12-31
P0054,16.28,2024-07-01,2025-09-17
P0054,16.69,2025-09-18,2026-05-30
P0054,15.79,2026-05-31,9999-12-31
P0055,13.71,2024-07-01,2025-07-10
P0055,14.91,2025-07-11,2025-08-20
P0055,15.39,2025-08-21,9999-12-31
P0056,12.01,2024-07-01,2024-10-28
P0056,12.25,2024-10-29,9999-12-31
P0057,2.46,2024-07-01,2025-08-08
P0057,2.51,2025-08-09,2026-01-02
P0057,2.44,2026-01-03,9999-12-31
P0058,15.06,2024-07-01,2024-12-13
P0058,16.04,2024-12-14,2025-05-12
P0058,17.21,2025-05-13,2025-10-04
P0058,18.65,2025-10-05,9999-12-31
P0059,6.27,2024-07-01,2025-12-25
P0059,5.77,2025-12-26,9999-12-31
P0060,17.91,2024-07-01,2025-01-18
P0060,18.6,2025-01-19,2025-02-28
P0060,16.93,2025-03-01,2025-12-05
P0060,17.9,2025-12-06,9999-12-31
P0061,2.96,2024-07-01,2025-05-12
P0061,2.79,2025-05-13,2026-02-28
P0061,2.91,2026-03-01,2026-04-18
P0061,2.65,2026-04-19,9999-12-31
P0062,8.58,2024-07-01,2025-09-04
P0062,8.94,2025-09-05,2026-01-22
P0062,9.47,2026-01-23,2026-03-30
P0062,10.09,2026-03-31,9999-12-31
P0063,4.75,2024-07-01,2025-03-30
P0063,4.89,2025-03-31,2025-12-19
P0063,5.28,2025-12-20,2026-01-27
P0063,5.09,2026-01-28,9999-12-31
P0064,8.4,2024-07-01,2024-09-11
P0064,8.67,2024-09-12,2024-12-20
P0064,9.01,2024-12-21,2025-08-17
P0064,9.23,2025-08-18,9999-12-31
P0065,13.57,2024-07-01,2024-09-11
P0065,14.42,2024-09-12,2024-09-12
P0065,15.15,2024-09-13,2026-02-23
P0065,14.0,2026-02-24,9999-12-31
P0066,15.12,2024-07-01,2024-09-05
P0066,14.63,2024-09-06,9999-12-31
P0067,10.12,2024-07-01,2025-08-15
P0067,10.47,2025-08-16,2025-11-08
P0067,11.21,2025-11-09,9999-12-31
P0068,9.96,2024-07-01,2025-07-11
P0068,10.49,2025-07-12,2026-03-08
P0068,10.87,2026-03-09,2026-04-29
P0068,11.35,2026-04-30,9999-12-31
P0069,9.78,2024-07-01,2024-09-09
P0069,10.42,2024-09-10,2025-03-25
P0069,9.64,2025-03-26,9999-12-31
P0070,1.8,2024-07-01,2025-11-27
P0070,1.85,2025-11-28,9999-12-31
P0071,14.31,2024-07-01,2025-09-18
P0071,14.64,2025-09-19,2025-11-16
P0071,15.4,2025-11-17,9999-12-31
P0072,7.57,2024-07-01,2024-12-20
P0072,6.98,2024-12-21,9999-12-31
P0073,18.23,2024-07-01,2025-01-04
P0073,17.84,2025-01-05,2025-09-22
P0073,19.39,2025-09-23,9999-12-31
P0074,13.31,2024-07-01,2025-11-29
P0074,14.48,2025-11-30,2025-12-28
P0074,14.11,2025-12-29,2026-05-11
P0074,15.0,2026-05-12,9999-12-31
P0075,4.59,2024-07-01,2025-05-22
P0075,4.73,2025-05-23,2025-10-11
P0075,4.85,2025-10-12,9999-12-31
P0076,16.01,2024-07-01,2026-02-23
P0076,16.86,2026-02-24,9999-12-31
P0077,3.37,2024-07-01,2025-03-16
P0077,3.61,2025-03-17,2026-04-14
P0077,3.73,2026-04-15,9999-12-31
P0078,14.54,2024-07-01,2025-06-20
P0078,14.03,2025-06-21,2025-09-12
P0078,13.38,2025-09-13,2026-04-24
P0078,13.87,2026-04-25,9999-12-31
P0079,17.3,2024-07-01,2024-11-16
P0079,16.11,2024-11-17,2026-04-13
P0079,16.61,2026-04-14,9999-12-31
P0080,9.71,2024-07-01,2025-04-03
P0080,9.19,2025-04-04,2025-11-02
P0080,9.56,2025-11-03,2026-02-28
P0080,10.32,2026-03-01,9999-12-31
P0081,16.14,2024-07-01,2026-02-19
P0081,15.31,2026-02-20,9999-12-31
P0082,14.67,2024-07-01,2025-10-19
P0082,14.26,2025-10-20,9999-12-31
P0083,16.16,2024-07-01,2024-11-27
P0083,17.26,2024-11-28,2025-02-25
P0083,17.95,2025-02-26,2025-07-07
P0083,18.87,2025-07-08,9999-12-31
P0084,9.98,2024-07-01,2025-02-17
P0084,10.2,2025-02-18,2025-07-28
P0084,10.67,2025-07-29,9999-12-31
P0085,9.87,2024-07-01,2024-09-06
P0085,10.38,2024-09-07,2024-11-06
P0085,11.18,2024-11-07,2025-05-20
P0085,11.82,2025-05-21,9999-12-31
P0086,17.49,2024-07-01,2024-09-11
P0086,18.47,2024-09-12,9999-12-31
P0087,1.24,2024-07-01,2024-11-01
P0087,1.35,2024-11-02,2025-05-24
P0087,1.26,2025-05-25,2025-12-13
P0087,1.21,2025-12-14,9999-12-31
P0088,11.68,2024-07-01,2025-02-17
P0088,12.72,2025-02-18,2025-10-07
P0088,13.37,2025-10-08,9999-12-31
P0089,18.66,2024-07-01,2024-11-30
P0089,20.32,2024-12-01,2026-01-18
P0089,19.27,2026-01-19,9999-12-31
P0090,17.23,2024-07-01,2024-08-31
P0090,18.75,2024-09-01,2025-03-23
P0090,19.3,2025-03-24,9999-12-31
P0091,1.48,2024-07-01,2025-02-15
P0091,1.52,2025-02-16,2026-04-24
P0091,1.65,2026-04-25,2026-05-20
P0091,1.79,2026-05-21,9999-12-31
P0092,6.36,2024-07-01,2025-07-16
P0092,6.11,2025-07-17,2025-12-05
P0092,6.4,2025-12-06,2026-03-02
P0092,6.96,2026-03-03,9999-12-31
P0093,7.23,2024-07-01,2024-09-17
P0093,7.48,2024-09-18,2025-01-03
P0093,7.72,2025-01-04,2025-03-09
P0093,8.02,2025-03-10,9999-12-31
P0094,7.48,2024-07-01,2025-03-11
P0094,7.87,2025-03-12,2025-04-08
P0094,8.5,2025-04-09,9999-12-31
P0095,4.17,2024-07-01,2025-01-12
P0095,4.52,2025-01-13,9999-12-31
P0096,7.7,2024-07-01,2024-09-22
P0096,7.98,2024-09-23,2025-07-11
P0096,7.75,2025-07-12,2025-08-24
P0096,8.41,2025-08-25,9999-12-31
P0097,0.89,2024-07-01,2025-11-26
P0097,0.83,2025-11-27,9999-12-31
P0098,7.44,2024-07-01,2025-04-04
P0098,7.86,2025-04-05,2025-08-01
P0098,8.11,2025-08-02,9999-12-31
P0099,2.57,2024-07-01,2024-09-07
P0099,2.67,2024-09-08,2024-10-15
P0099,2.74,2024-10-16,9999-12-31
P0100,5.1,2024-07-01,2025-02-20
P0100,5.3,2025-02-21,2026-02-07
P0100,5.55,2026-02-08,9999-12-31
P0101,6.52,2024-07-01,2025-03-26
P0101,6.66,2025-03-27,2025-04-02
P0101,6.18,2025-04-03,2025-04-04
P0101,6.7,2025-04-05,9999-12-31
P0102,8.16,2024-07-01,2025-03-18
P0102,7.56,2025-03-19,2025-08-03
P0102,8.19,2025-08-04,2026-04-17
P0102,7.58,2026-04-18,9999-12-31
P0103,8.46,2024-07-01,2024-10-11
P0103,7.7,2024-10-12,2025-03-13
P0103,7.91,2025-03-14,2026-04-15
P0103,7.73,2026-04-16,9999-12-31
P0104,6.94,2024-07-01,2025-09-18
P0104,7.13,2025-09-19,2026-01-20
P0104,7.48,2026-01-21,2026-01-24
P0104,7.86,2026-01-25,9999-12-31
P0105,1.69,2024-07-01,2025-05-06
P0105,1.62,2025-05-07,2025-05-28
P0105,1.71,2025-05-29,2026-02-23
P0105,1.8,2026-02-24,9999-12-31
P0106,5.83,2024-07-01,2025-02-09
P0106,6.01,2025-02-10,2025-04-25
P0106,6.37,2025-04-26,9999-12-31
P0107,3.75,2024-07-01,2026-02-06
P0107,3.42,2026-02-07,2026-05-08
P0107,3.12,2026-05-09,9999-12-31
P0108,4.55,2024-07-01,2024-11-27
P0108,4.81,2024-11-28,9999-12-31
P0109,7.25,2024-07-01,2026-02-03
P0109,7.69,2026-02-04,9999-12-31
P0110,2.58,2024-07-01,2026-04-15
P0110,2.65,2026-04-16,9999-12-31
P0111,5.79,2024-07-01,2025-02-11
P0111,5.43,2025-02-12,2025-12-02
P0111,5.57,2025-12-03,9999-12-31
P0112,3.37,2024-07-01,2025-02-10
P0112,3.59,2025-02-11,9999-12-31
P0113,7.61,2024-07-01,2025-02-12
P0113,7.86,2025-02-13,2026-04-19
P0113,8.34,2026-04-20,9999-12-31
P0114,9.44,2024-07-01,2025-06-07
P0114,9.18,2025-06-08,2025-06-26
P0114,8.71,2025-06-27,9999-12-31
P0115,2.12,2024-07-01,2025-07-03
P0115,2.3,2025-07-04,9999-12-31
P0116,9.09,2024-07-01,2024-11-09
P0116,9.47,2024-11-10,2025-09-06
P0116,9.96,2025-09-07,2026-04-15
P0116,9.63,2026-04-16,9999-12-31
P0117,1.38,2024-07-01,2025-02-06
P0117,1.41,2025-02-07,2025-06-30
P0117,1.47,2025-07-01,2025-11-23
P0117,1.43,2025-11-24,9999-12-31
P0118,4.56,2024-07-01,2025-05-13
P0118,4.75,2025-05-14,2025-12-19
P0118,5.03,2025-12-20,2026-03-12
P0118,5.15,2026-03-13,9999-12-31
P0119,3.93,2024-07-01,2025-02-07
P0119,4.06,2025-02-08,2025-10-28
P0119,4.32,2025-10-29,9999-12-31
P0120,3.18,2024-07-01,2025-04-07
P0120,3.0,2025-04-08,9999-12-31
P0121,8.25,2024-07-01,2025-04-28
P0121,7.75,2025-04-29,9999-12-31
P0122,3.46,2024-07-01,2025-07-29
P0122,3.17,2025-07-30,9999-12-31
P0123,3.37,2024-07-01,2024-10-05
P0123,3.14,2024-10-06,2025-11-27
P0123,3.3,2025-11-28,9999-12-31
P0124,2.51,2024-07-01,2024-09-17
P0124,2.69,2024-09-18,2025-08-23
P0124,2.5,2025-08-24,9999-12-31
P0125,6.88,2024-07-01,2025-10-04
P0125,6.38,2025-10-05,2026-04-14
P0125,6.89,2026-04-15,9999-12-31
P0126,8.76,2024-07-01,2025-08-19
P0126,8.45,2025-08-20,9999-12-31
P0127,6.06,2024-07-01,2025-05-24
P0127,6.33,2025-05-25,2025-07-07
P0127,6.54,2025-07-08,2025-10-16
P0127,6.0,2025-10-17,9999-12-31
P0128,8.13,2024-07-01,2025-01-03
P0128,7.8,2025-01-04,9999-12-31
P0129,7.44,2024-07-01,2025-11-25
P0129,7.91,2025-11-26,9999-12-31
P0130,4.56,2024-07-01,2025-03-08
P0130,4.88,2025-03-09,2025-11-16
P0130,4.98,2025-11-17,9999-12-31
P0131,3.33,2024-07-01,2025-03-17
P0131,3.51,2025-03-18,2025-12-26
P0131,3.66,2025-12-27,2026-04-26
P0131,3.84,2026-04-27,9999-12-31
P0132,4.19,2024-07-01,2025-09-28
P0132,4.3,2025-09-29,2026-03-25
P0132,4.44,2026-03-26,9999-12-31
P0133,0.62,2024-07-01,2025-02-28
P0133,0.6,2025-03-01,9999-12-31
P0134,7.13,2024-07-01,2025-07-11
P0134,7.31,2025-07-12,2025-09-26
P0134,7.49,2025-09-27,2026-04-09
P0134,8.16,2026-04-10,9999-12-31
P0135,1.75,2024-07-01,2025-01-02
P0135,1.86,2025-01-03,9999-12-31
P0136,9.42,2024-07-01,2024-12-06
P0136,9.7,2024-12-07,2025-04-27
P0136,9.04,2025-04-28,2025-09-03
P0136,9.45,2025-09-04,9999-12-31
P0137,1.6,2024-07-01,2024-10-12
P0137,1.64,2024-10-13,2025-03-24
P0137,1.71,2025-03-25,9999-12-31
P0138,6.07,2024-07-01,2024-10-10
P0138,5.58,2024-10-11,9999-12-31
P0139,6.45,2024-07-01,2024-10-24
P0139,6.59,2024-10-25,9999-12-31
P0140,2.54,2024-07-01,2025-12-12
P0140,2.69,2025-12-13,2026-02-25
P0140,2.89,2026-02-26,9999-12-31
P0141,4.03,2024-07-01,2025-07-15
P0141,4.39,2025-07-16,9999-12-31
P0142,7.31,2024-07-01,2026-02-10
P0142,6.92,2026-02-11,2026-04-25
P0142,7.38,2026-04-26,9999-12-31
P0143,7.65,2024-07-01,2025-02-12
P0143,8.08,2025-02-13,2025-05-23
P0143,8.43,2025-05-24,2026-02-08
P0143,8.75,2026-02-09,9999-12-31
P0144,8.49,2024-07-01,2024-12-02
P0144,9.18,2024-12-03,9999-12-31
P0145,2.06,2024-07-01,2024-11-22
P0145,2.22,2024-11-23,2025-06-14
P0145,2.29,2025-06-15,9999-12-31
P0146,2.37,2024-07-01,2024-09-28
P0146,2.2,2024-09-29,9999-12-31
P0147,5.12,2024-07-01,2024-09-26
P0147,5.49,2024-09-27,9999-12-31
P0148,5.6,2024-07-01,2025-04-05
P0148,5.72,2025-04-06,2025-09-10
P0148,6.23,2025-09-11,2025-12-25
P0148,6.43,2025-12-26,9999-12-31
P0149,1.35,2024-07-01,2025-08-18
P0149,1.25,2025-08-19,2025-09-24
P0149,1.15,2025-09-25,9999-12-31
P0150,9.3,2024-07-01,2025-02-03
P0150,9.85,2025-02-04,9999-12-31
P0151,3.54,2024-07-01,2025-03-27
P0151,3.85,2025-03-28,2025-08-05
P0151,4.07,2025-08-06,2026-04-17
P0151,4.19,2026-04-18,9999-12-31
P0152,5.8,2024-07-01,2024-10-11
P0152,5.97,2024-10-12,2024-11-24
P0152,6.41,2024-11-25,2025-07-31
P0152,6.94,2025-08-01,9999-12-31
P0153,4.14,2024-07-01,2024-10-11
P0153,4.42,2024-10-12,9999-12-31
P0154,3.71,2024-07-01,2025-12-26
P0154,4.0,2025-12-27,9999-12-31
P0155,8.04,2024-07-01,2025-03-23
P0155,8.74,2025-03-24,2025-06-24
P0155,9.32,2025-06-25,2025-09-06
P0155,8.64,2025-09-07,9999-12-31
P0156,5.17,2024-07-01,2024-09-02
P0156,5.47,2024-09-03,2024-12-09
P0156,5.8,2024-12-10,9999-12-31
P0157,8.66,2024-07-01,2025-05-14
P0157,9.19,2025-05-15,2026-02-24
P0157,9.83,2026-02-25,9999-12-31
P0158,3.01,2024-07-01,2026-01-16
P0158,3.2,2026-01-17,9999-12-31
P0159,8.87,2024-07-01,2025-09-20
P0159,9.11,2025-09-21,9999-12-31
P0160,2.09,2024-07-01,2025-07-31
P0160,2.15,2025-08-01,2026-03-10
P0160,2.22,2026-03-11,2026-05-14
P0160,2.39,2026-05-15,9999-12-31
P0161,5.92,2024-07-01,2025-03-06
P0161,6.4,2025-03-07,2025-04-02
P0161,6.76,2025-04-03,2025-09-10
P0161,6.92,2025-09-11,9999-12-31
P0162,2.27,2024-07-01,2024-12-09
P0162,2.47,2024-12-10,2024-12-30
P0162,2.56,2024-12-31,9999-12-31
P0163,3.96,2024-07-01,2025-04-02
P0163,4.27,2025-04-03,9999-12-31
P0164,2.64,2024-07-01,2026-01-03
P0164,2.47,2026-01-04,2026-01-23
P0164,2.59,2026-01-24,2026-01-24
P0164,2.37,2026-01-25,9999-12-31
P0165,3.11,2024-07-01,2025-07-28
P0165,3.0,2025-07-29,2026-05-25
P0165,3.17,2026-05-26,9999-12-31
P0166,4.59,2024-07-01,2025-11-08
P0166,4.95,2025-11-09,2026-01-05
P0166,4.83,2026-01-06,9999-12-31
P0167,3.7,2024-07-01,2024-10-03
P0167,3.94,2024-10-04,2026-04-19
P0167,4.13,2026-04-20,9999-12-31
P0168,2.28,2024-07-01,2024-10-29
P0168,2.2,2024-10-30,9999-12-31
P0169,4.91,2024-07-01,2024-09-11
P0169,5.2,2024-09-12,2024-11-30
P0169,5.36,2024-12-01,9999-12-31
P0170,2.04,2024-07-01,2025-04-20
P0170,1.98,2025-04-21,2025-10-03
P0170,1.81,2025-10-04,2026-01-04
P0170,1.93,2026-01-05,9999-12-31
P0171,2.3,2024-07-01,2025-07-23
P0171,2.25,2025-07-24,2025-10-11
P0171,2.11,2025-10-12,9999-12-31
P0172,1.23,2024-07-01,2025-04-27
P0172,1.26,2025-04-28,9999-12-31
P0173,4.71,2024-07-01,2025-07-19
P0173,4.95,2025-07-20,9999-12-31
P0174,8.9,2024-07-01,2024-11-25
P0174,9.68,2024-11-26,2025-02-04
P0174,10.09,2025-02-05,2025-08-01
P0174,10.68,2025-08-02,9999-12-31
P0175,8.36,2024-07-01,2025-10-14
P0175,9.08,2025-10-15,9999-12-31
P0176,7.35,2024-07-01,2025-11-14
P0176,7.63,2025-11-15,2026-05-26
P0176,7.8,2026-05-27,9999-12-31
P0177,8.38,2024-07-01,2024-11-10
P0177,8.85,2024-11-11,2025-11-05
P0177,9.27,2025-11-06,9999-12-31
P0178,8.94,2024-07-01,2024-10-31
P0178,9.13,2024-11-01,2025-06-18
P0178,8.47,2025-06-19,2025-10-22
P0178,8.96,2025-10-23,9999-12-31
P0179,2.21,2024-07-01,2025-11-17
P0179,2.39,2025-11-18,9999-12-31
P0180,3.54,2024-07-01,2026-04-13
P0180,3.46,2026-04-14,9999-12-31
P0181,4.77,2024-07-01,2024-10-17
P0181,4.87,2024-10-18,2025-12-04
P0181,5.08,2025-12-05,9999-12-31
P0182,6.41,2024-07-01,2025-06-13
P0182,6.1,2025-06-14,9999-12-31
P0183,6.99,2024-07-01,2026-01-10
P0183,7.19,2026-01-11,2026-03-22
P0183,7.79,2026-03-23,9999-12-31
P0184,3.41,2024-07-01,2025-05-15
P0184,3.71,2025-05-16,2026-04-20
P0184,3.95,2026-04-21,9999-12-31
P0185,5.48,2024-07-01,2024-09-18
P0185,5.83,2024-09-19,2025-07-08
P0185,6.21,2025-07-09,2025-12-22
P0185,5.7,2025-12-23,9999-12-31
P0186,4.34,2024-07-01,2025-03-16
P0186,4.51,2025-03-17,2025-07-09
P0186,4.36,2025-07-10,9999-12-31
P0187,2.0,2024-07-01,2026-02-05
P0187,1.84,2026-02-06,2026-04-05
P0187,1.77,2026-04-06,9999-12-31
P0188,6.29,2024-07-01,2024-12-02
P0188,6.57,2024-12-03,2025-05-26
P0188,6.81,2025-05-27,2025-08-28
P0188,6.44,2025-08-29,9999-12-31
P0189,7.88,2024-07-01,2025-10-05
P0189,8.27,2025-10-06,2025-11-19
P0189,7.99,2025-11-20,9999-12-31
P0190,3.19,2024-07-01,2025-01-02
P0190,3.42,2025-01-03,2025-11-28
P0190,3.7,2025-11-29,9999-12-31
P0191,2.61,2024-07-01,2025-04-02
P0191,2.44,2025-04-03,2025-12-08
P0191,2.65,2025-12-09,2026-03-14
P0191,2.86,2026-03-15,9999-12-31
P0192,5.87,2024-07-01,2025-06-14
P0192,6.37,2025-06-15,9999-12-31
P0193,4.19,2024-07-01,2025-08-07
P0193,4.04,2025-08-08,2025-08-25
P0193,4.23,2025-08-26,9999-12-31
P0194,7.99,2024-07-01,2024-12-24
P0194,7.38,2024-12-25,2025-02-02
P0194,7.56,2025-02-03,9999-12-31
P0195,3.57,2024-07-01,2025-03-10
P0195,3.75,2025-03-11,2025-06-23
P0195,3.95,2025-06-24,9999-12-31
P0196,3.66,2024-07-01,2025-07-15
P0196,3.47,2025-07-16,9999-12-31
P0197,8.82,2024-07-01,2024-10-10
P0197,9.52,2024-10-11,2025-04-04
P0197,10.1,2025-04-05,2025-12-17
P0197,10.83,2025-12-18,9999-12-31
P0198,4.83,2024-07-01,2024-12-16
P0198,5.25,2024-12-17,2025-02-08
P0198,4.82,2025-02-09,2025-10-31
P0198,5.21,2025-11-01,9999-12-31
P0199,3.05,2024-07-01,2024-09-18
P0199,3.3,2024-09-19,2025-08-11
P0199,3.49,2025-08-12,2026-02-02
P0199,3.75,2026-02-03,9999-12-31
P0200,7.52,2024-07-01,2025-06-24
P0200,8.14,2025-06-25,9999-12-31
P0201,7.37,2024-07-01,2024-12-15
P0201,8.02,2024-12-16,2025-08-21
P0201,8.32,2025-08-22,9999-12-31
P0202,1.92,2024-07-01,2026-03-02
P0202,1.99,2026-03-03,9999-12-31
P0203,4.37,2024-07-01,2025-05-14
P0203,4.63,2025-05-15,2026-05-24
P0203,4.98,2026-05-25,9999-12-31
P0204,1.55,2024-07-01,2024-12-14
P0204,1.67,2024-12-15,2025-05-17
P0204,1.59,2025-05-18,2025-05-29
P0204,1.62,2025-05-30,9999-12-31
P0205,6.3,2024-07-01,2025-08-19
P0205,6.57,2025-08-20,9999-12-31
P0206,4.38,2024-07-01,2025-06-18
P0206,4.63,2025-06-19,2026-01-22
P0206,4.91,2026-01-23,9999-12-31
P0207,8.93,2024-07-01,2026-02-20
P0207,8.64,2026-02-21,9999-12-31
P0208,6.81,2024-07-01,2025-04-16
P0208,7.04,2025-04-17,2025-06-27
P0208,7.19,2025-06-28,2026-01-11
P0208,6.68,2026-01-12,9999-12-31
P0209,1.4,2024-07-01,2024-10-19
P0209,1.29,2024-10-20,9999-12-31
P0210,7.65,2024-07-01,2025-07-20
P0210,8.08,2025-07-21,2025-11-18
P0210,8.77,2025-11-19,2026-03-06
P0210,9.14,2026-03-07,9999-12-31
P0211,4.26,2024-07-01,2025-07-18
P0211,3.97,2025-07-19,2026-04-24
P0211,4.33,2026-04-25,9999-12-31
P0212,4.54,2024-07-01,2026-01-22
P0212,4.91,2026-01-23,9999-12-31
P0213,1.49,2024-07-01,2025-12-24
P0213,1.56,2025-12-25,9999-12-31
P0214,1.42,2024-07-01,2024-11-01
P0214,1.46,2024-11-02,2025-07-23
