promo_id,product_id,start_date,end_date,discount_pct
PR00150,P0100,2024-08-12,2024-08-18,25
PR00151,P0204,2024-08-12,2024-08-18,10
PR00152,P0215,2024-08-12,2024-08-18,25
PR00153,P0300,2024-08-12,2024-08-18,20
PR00154,P0160,2024-08-12,2024-08-18,20
PR00155,P0089,2024-08-12,2024-08-18,15
PR00156,P0065,2024-08-12,2024-08-18,20
PR00157,P0045,2024-08-12,2024-08-18,10
PR00158,P0172,2024-08-12,2024-08-18,20
PR00159,P0067,2024-08-12,2024-08-18,10
PR00160,P0198,2024-08-12,2024-08-18,10
PR00161,P0046,2024-08-12,2024-08-18,15
PR00162,P0176,2024-08-12,2024-08-18,10
PR00163,P0295,2024-08-12,2024-08-18,15
PR00164,P0263,2024-08-12,2024-08-18,20
PR00165,P0041,2024-08-12,2024-08-18,10
PR00166,P0170,2024-08-12,2024-08-18,20
PR00167,P0234,2024-08-12,2024-08-18,10
PR00168,P0260,2024-08-12,2024-08-18,20
PR00169,P0261,2024-08-19,2024-08-25,25
PR00170,P0229,2024-08-19,2024-08-25,10
PR00171,P0176,2024-08-19,2024-08-25,10
PR00172,P0114,2024-08-19,2024-08-25,10
PR00173,P0239,2024-08-19,2024-08-25,10
PR00174,P0069,2024-08-19,2024-08-25,10
PR00175,P0019,2024-08-19,2024-08-25,20
PR00176,P0099,2024-08-19,2024-08-25,10
PR00177,P0205,2024-08-19,2024-08-25,15
PR00178,P0218,2024-08-19,2024-08-25,20
PR00179,P0221,2024-08-19,2024-08-25,15
PR00180,P0141,2024-08-19,2024-08-25,20
PR00181,P0113,2024-08-19,2024-08-25,15
PR00182,P0289,2024-08-19,2024-08-25,10
PR00183,P0286,2024-08-19,2024-08-25,10
PR00184,P0034,2024-08-19,2024-08-25,25
PR00185,P0087,2024-08-19,2024-08-25,15
PR00186,P0115,2024-08-19,2024-08-25,10
PR00187,P0258,2024-08-19,2024-08-25,15
PR00188,P0139,2024-08-19,2024-08-25,20
PR00189,P0167,2024-08-19,2024-08-25,20
PR00190,P0174,2024-08-19,2024-08-25,15
PR00191,P0230,2024-08-19,2024-08-25,20
PR00192,P0132,2024-08-19,2024-08-25,20
PR00193,P0031,2024-08-26,2024-09-01,10
PR00194,P0151,2024-08-26,2024-09-01,10
PR00195,P0089,2024-08-26,2024-09-01,10
PR00196,P0148,2024-08-26,2024-09-01,10
PR00197,P0057,2024-08-26,2024-09-01,10
PR00198,P0022,2024-08-26,2024-09-01,15
PR00199,P0179,2024-08-26,2024-09-01,20
PR00200,P0137,2024-08-26,2024-09-01,10
PR00201,P0223,2024-08-26,2024-09-01,10
PR00202,P0167,2024-08-26,2024-09-01,25
PR00203,P0242,2024-08-26,2024-09-01,20
PR00204,P0054,2024-08-26,2024-09-01,20
PR00205,P0171,2024-08-26,2024-09-01,10
PR00206,P0172,2024-08-26,2024-09-01,15
PR00207,P0079,2024-08-26,2024-09-01,10
PR00208,P0275,2024-08-26,2024-09-01,10
PR00209,P0065,2024-08-26,2024-09-01,15
PR00210,P0120,2024-08-26,2024-09-01,15
PR00211,P0240,2024-08-26,2024-09-01,15
PR00212,P0040,2024-08-26,2024-09-01,15
PR00213,P0254,2024-08-26,2024-09-01,10
PR00214,P0161,2024-08-26,2024-09-01,10
PR00215,P0214,2024-08-26,2024-09-01,20
PR00216,P0019,2024-08-26,2024-09-01,20
PR00217,P0143,2024-09-02,2024-09-08,15
PR00218,P0124,2024-09-02,2024-09-08,20
PR00219,P0085,2024-09-02,2024-09-08,10
PR00220,P0027,2024-09-02,2024-09-08,15
PR00221,P0050,2024-09-02,2024-09-08,20
PR00222,P0001,2024-09-02,2024-09-08,10
PR00223,P0055,2024-09-02,2024-09-08,10
PR00224,P0260,2024-09-02,2024-09-08,10
PR00225,P0016,2024-09-02,2024-09-08,20
PR00226,P0226,2024-09-02,2024-09-08,15
PR00227,P0090,2024-09-02,2024-09-08,20
PR00228,P0079,2024-09-02,2024-09-08,20
PR00229,P0212,2024-09-02,2024-09-08,20
PR00230,P0104,2024-09-02,2024-09-08,25
PR00231,P0213,2024-09-02,2024-09-08,20
PR00232,P0018,2024-09-02,2024-09-08,20
PR00233,P0161,2024-09-02,2024-09-08,20
PR00234,P0059,2024-09-02,2024-09-08,20
PR00235,P0178,2024-09-02,2024-09-08,20
PR00236,P0029,2024-09-02,2024-09-08,25
PR00237,P0250,2024-09-02,2024-09-08,15
PR00238,P0112,2024-09-02,2024-09-08,15
PR00239,P0288,2024-09-02,2024-09-08,15
PR00240,P0105,2024-09-02,2024-09-08,20
PR00241,P0120,2024-09-09,2024-09-15,20
PR00242,P0174,2024-09-09,2024-09-15,10
PR00243,P0162,2024-09-09,2024-09-15,10
PR00244,P0173,2024-09-09,2024-09-15,10
PR00245,P0205,2024-09-09,2024-09-15,15
PR00246,P0063,2024-09-09,2024-09-15,15
PR00247,P0230,2024-09-09,2024-09-15,20
PR00248,P0159,2024-09-09,2024-09-15,15
PR00249,P0274,2024-09-09,2024-09-15,10
PR00250,P0042,2024-09-09,2024-09-15,10
PR00251,P0292,2024-09-09,2024-09-15,10
PR00252,P0197,2024-09-09,2024-09-15,25
PR00253,P0202,2024-09-09,2024-09-15,10
PR00254,P0170,2024-09-09,2024-09-15,25
PR00255,P0242,2024-09-09,2024-09-15,10
PR00256,P0030,2024-09-09,2024-09-15,10
PR00257,P0133,2024-09-09,2024-09-15,10
PR00258,P0051,2024-09-09,2024-09-15,10
PR00259,P0220,2024-09-09,2024-09-15,20
PR00260,P0072,2024-09-09,2024-09-15,15
PR00261,P0226,2024-09-09,2024-09-15,10
PR00262,P0219,2024-09-09,2024-09-15,20
PR00263,P0271,2024-09-09,2024-09-15,15
PR00264,P0267,2024-09-09,2024-09-15,25
PR00265,P0187,2024-09-16,2024-09-22,15
PR00266,P0031,2024-09-16,2024-09-22,20
PR00267,P0269,2024-09-16,2024-09-22,15
PR00268,P0084,2024-09-16,2024-09-22,20
PR00269,P0226,2024-09-16,2024-09-22,15
PR00270,P0023,2024-09-16,2024-09-22,10
PR00271,P0144,2024-09-16,2024-09-22,10
PR00272,P0284,2024-09-16,2024-09-22,10
PR00273,P0070,2024-09-16,2024-09-22,10
PR00274,P0196,2024-09-16,2024-09-22,10
PR00275,P0232,2024-09-16,2024-09-22,10
PR00276,P0147,2024-09-16,2024-09-22,10
PR00277,P0204,2024-09-16,2024-09-22,20
PR00278,P0103,2024-09-16,2024-09-22,15
PR00279,P0026,2024-09-16,2024-09-22,25
PR00280,P0237,2024-09-16,2024-09-22,20
PR00281,P0113,2024-09-16,2024-09-22,15
PR00282,P0223,2024-09-16,2024-09-22,10
PR00283,P0180,2024-09-16,2024-09-22,15
PR00284,P0142,2024-09-16,2024-09-22,10
PR00285,P0134,2024-09-16,2024-09-22,15
PR00286,P0192,2024-09-16,2024-09-22,15
PR00287,P0102,2024-09-16,2024-09-22,15
PR00288,P0250,2024-09-16,2024-09-22,10
PR00289,P0009,2024-09-23,2024-09-29,20
PR00290,P0236,2024-09-23,2024-09-29,15
PR00291,P0080,2024-09-23,2024-09-29,25
PR00292,P0188,2024-09-23,2024-09-29,15
PR00293,P0239,2024-09-23,2024-09-29,20
PR00294,P0224,2024-09-23,2024-09-29,20
PR00295,P0159,2024-09-23,2024-09-29,10
PR00296,P0119,2024-09-23,2024-09-29,10
PR00297,P0041,2024-09-23,2024-09-29,15
PR00298,P0279,2024-09-23,2024-09-29,10
PR00299,P0084,2024-09-23,2024-09-29,15
PR00300,P0031,2024-09-23,2024-09-29,15
PR00301,P0217,2024-09-23,2024-09-29,15
PR00302,P0191,2024-09-23,2024-09-29,10
PR00303,P0098,2024-09-23,2024-09-29,20
PR00304,P0178,2024-09-23,2024-09-29,15
PR00305,P0039,2024-09-23,2024-09-29,20
PR00306,P0299,2024-09-23,2024-09-29,10
PR00307,P0179,2024-09-23,2024-09-29,15
PR00308,P0292,2024-09-23,2024-09-29,10
PR00309,P0210,2024-09-23,2024-09-29,20
PR00310,P0154,2024-09-23,2024-09-29,10
PR00311,P0160,2024-09-23,2024-09-29,25
PR00312,P0107,2024-09-23,2024-09-29,10
PR00313,P0295,2024-09-30,2024-10-06,10
PR00314,P0078,2024-09-30,2024-10-06,10
PR00315,P0036,2024-09-30,2024-10-06,20
PR00316,P0107,2024-09-30,2024-10-06,15
PR00317,P0239,2024-09-30,2024-10-06,15
PR00318,P0123,2024-09-30,2024-10-06,25
PR00319,P0073,2024-09-30,2024-10-06,15
PR00320,P0062,2024-09-30,2024-10-06,10
PR00321,P0158,2024-09-30,2024-10-06,15
PR00322,P0048,2024-09-30,2024-10-06,10
PR00323,P0300,2024-09-30,2024-10-06,10
PR00324,P0047,2024-09-30,2024-10-06,10
PR00325,P0243,2024-09-30,2024-10-06,20
PR00326,P0041,2024-09-30,2024-10-06,20
PR00327,P0191,2024-09-30,2024-10-06,15
PR00328,P0033,2024-09-30,2024-10-06,15
PR00329,P0190,2024-09-30,2024-10-06,20
PR00330,P0059,2024-09-30,2024-10-06,20
PR00331,P0176,2024-09-30,2024-10-06,20
PR00332,P0134,2024-09-30,2024-10-06,15
PR00333,P0171,2024-09-30,2024-10-06,20
PR00334,P0179,2024-09-30,2024-10-06,15
PR00335,P0002,2024-09-30,2024-10-06,15
PR00336,P0001,2024-09-30,2024-10-06,20
PR00337,P0052,2024-10-07,2024-10-13,15
PR00338,P0263,2024-10-07,2024-10-13,15
PR00339,P0063,2024-10-07,2024-10-13,10
PR00340,P0112,2024-10-07,2024-10-13,10
PR00341,P0081,2024-10-07,2024-10-13,10
PR00342,P0111,2024-10-07,2024-10-13,10
PR00343,P0079,2024-10-07,2024-10-13,15
PR00344,P0276,2024-10-07,2024-10-13,10
PR00345,P0051,2024-10-07,2024-10-13,20
PR00346,P0254,2024-10-07,2024-10-13,10
PR00347,P0020,2024-10-07,2024-10-13,10
PR00348,P0103,2024-10-07,2024-10-13,20
PR00349,P0115,2024-10-07,2024-10-13,10
PR00350,P0156,2024-10-07,2024-10-13,15
PR00351,P0125,2024-10-07,2024-10-13,25
PR00352,P0255,2024-10-07,2024-10-13,25
PR00353,P0154,2024-10-07,2024-10-13,20
PR00354,P0108,2024-10-07,2024-10-13,10
PR00355,P0064,2024-10-07,2024-10-13,15
PR00356,P0143,2024-10-07,2024-10-13,25
PR00357,P0191,2024-10-07,2024-10-13,25
PR00358,P0086,2024-10-07,2024-10-13,10
PR00359,P0224,2024-10-07,2024-10-13,15
PR00360,P0148,2024-10-07,2024-10-13,10
PR00361,P0193,2024-10-14,2024-10-20,15
PR00362,P0284,2024-10-14,2024-10-20,10
PR00363,P0047,2024-10-14,2024-10-20,10
PR00364,P0043,2024-10-14,2024-10-20,15
PR00365,P0265,2024-10-14,2024-10-20,25
PR00366,P0037,2024-10-14,2024-10-20,25
PR00367,P0171,2024-10-14,2024-10-20,25
PR00368,P0044,2024-10-14,2024-10-20,15
PR00369,P0021,2024-10-14,2024-10-20,10
PR00370,P0078,2024-10-14,2024-10-20,10
PR00371,P0026,2024-10-14,2024-10-20,10
PR00372,P0282,2024-10-14,2024-10-20,10
PR00373,P0099,2024-10-14,2024-10-20,10
PR00374,P0187,2024-10-14,2024-10-20,15
PR00375,P0097,2024-10-14,2024-10-20,10
PR00376,P0095,2024-10-14,2024-10-20,10
PR00377,P0056,2024-10-14,2024-10-20,20
PR00378,P0280,2024-10-14,2024-10-20,15
PR00379,P0122,2024-10-14,2024-10-20,20
PR00380,P0147,2024-10-14,2024-10-20,10
PR00381,P0298,2024-10-14,2024-10-20,15
PR00382,P0196,2024-10-14,2024-10-20,10
PR00383,P0127,2024-10-14,2024-10-20,15
PR00384,P0144,2024-10-14,2024-10-20,10
PR00385,P0068,2024-10-21,2024-10-27,15
PR00386,P0114,2024-10-21,2024-10-27,15
PR00387,P0135,2024-10-21,2024-10-27,10
PR00388,P0045,2024-10-21,2024-10-27,15
PR00389,P0158,2024-10-21,2024-10-27,10
PR00390,P0266,2024-10-21,2024-10-27,20
PR00391,P0164,2024-10-21,2024-10-27,15
PR00392,P0287,2024-10-21,2024-10-27,20
PR00393,P0074,2024-10-21,2024-10-27,15
PR00394,P0282,2024-10-21,2024-10-27,20
PR00395,P0294,2024-10-21,2024-10-27,10
PR00396,P0240,2024-10-21,2024-10-27,25
PR00397,P0123,2024-10-21,2024-10-27,15
PR00398,P0172,2024-10-21,2024-10-27,10
PR00399,P0191,2024-10-21,2024-10-27,10
PR00400,P0013,2024-10-21,2024-10-27,10
PR00401,P0161,2024-10-21,2024-10-27,15
PR00402,P0049,2024-10-21,2024-10-27,20
PR00403,P0097,2024-10-21,2024-10-27,25
PR00404,P0054,2024-10-21,2024-10-27,20
PR00405,P0081,2024-10-21,2024-10-27,15
PR00406,P0217,2024-10-21,2024-10-27,15
PR00407,P0075,2024-10-21,2024-10-27,20
PR00408,P0027,2024-10-21,2024-10-27,20
PR00409,P0132,2024-10-28,2024-11-03,15
PR00410,P0219,2024-10-28,2024-11-03,15
PR00411,P0196,2024-10-28,2024-11-03,10
PR00412,P0268,2024-10-28,2024-11-03,20
PR00413,P0214,2024-10-28,2024-11-03,10
PR00414,P0222,2024-10-28,2024-11-03,15
PR00415,P0229,2024-10-28,2024-11-03,25
PR00416,P0041,2024-10-28,2024-11-03,15
PR00417,P0062,2024-10-28,2024-11-03,15
PR00418,P0099,2024-10-28,2024-11-03,10
PR00419,P0052,2024-10-28,2024-11-03,10
PR00420,P0082,2024-10-28,2024-11-03,10
PR00421,P0204,2024-10-28,2024-11-03,20
PR00422,P0034,2024-10-28,2024-11-03,20
PR00423,P0139,2024-10-28,2024-11-03,10
PR00424,P0278,2024-10-28,2024-11-03,10
PR00425,P0112,2024-10-28,2024-11-03,10
PR00426,P0121,2024-10-28,2024-11-03,15
PR00427,P0048,2024-10-28,2024-11-03,15
PR00428,P0087,2024-10-28,2024-11-03,20
PR00429,P0085,2024-10-28,2024-11-03,25
PR00430,P0235,2024-10-28,2024-11-03,10
PR00431,P0036,2024-10-28,2024-11-03,20
PR00432,P0172,2024-10-28,2024-11-03,15
PR00433,P0086,2024-11-04,2024-11-10,15
PR00434,P0170,2024-11-04,2024-11-10,20
PR00435,P0131,2024-11-04,2024-11-10,25
PR00436,P0151,2024-11-04,2024-11-10,20
PR00437,P0190,2024-11-04,2024-11-10,15
PR00438,P0264,2024-11-04,2024-11-10,15
PR00439,P0088,2024-11-04,2024-11-10,15
PR00440,P0255,2024-11-04,2024-11-10,15
PR00441,P0092,2024-11-04,2024-11-10,10
PR00442,P0263,2024-11-04,2024-11-10,15
PR00443,P0094,2024-11-04,2024-11-10,20
PR00444,P0102,2024-11-04,2024-11-10,20
PR00445,P0297,2024-11-04,2024-11-10,20
PR00446,P0209,2024-11-04,2024-11-10,15
PR00447,P0150,2024-11-04,2024-11-10,15
PR00448,P0015,2024-11-04,2024-11-10,10
PR00449,P0027,2024-11-04,2024-11-10,15
PR00450,P0244,2024-11-04,2024-11-10,15
PR00451,P0182,2024-11-04,2024-11-10,10
PR00452,P0231,2024-11-04,2024-11-10,10
PR00453,P0142,2024-11-04,2024-11-10,20
PR00454,P0229,2024-11-04,2024-11-10,15
PR00455,P0273,2024-11-04,2024-11-10,15
PR00456,P0203,2024-11-04,2024-11-10,10
PR00457,P0133,2024-11-11,2024-11-17,20
PR00458,P0151,2024-11-11,2024-11-17,15
PR00459,P0199,2024-11-11,2024-11-17,15
PR00460,P0158,2024-11-11,2024-11-17,25
PR00461,P0119,2024-11-11,2024-11-17,20
PR00462,P0016,2024-11-11,2024-11-17,20
PR00463,P0137,2024-11-11,2024-11-17,20
PR00464,P0191,2024-11-11,2024-11-17,10
PR00465,P0002,2024-11-11,2024-11-17,20
PR00466,P0068,2024-11-11,2024-11-17,15
PR00467,P0084,2024-11-11,2024-11-17,25
PR00468,P0135,2024-11-11,2024-11-17,20
PR00469,P0011,2024-11-11,2024-11-17,10
PR00470,P0134,2024-11-11,2024-11-17,10
PR00471,P0021,2024-11-11,2024-11-17,10
PR00472,P0062,2024-11-11,2024-11-17,15
PR00473,P0197,2024-11-11,2024-11-17,10
PR00474,P0124,2024-11-11,2024-11-17,20
PR00475,P0144,2024-11-11,2024-11-17,15
PR00476,P0263,2024-11-11,2024-11-17,20
PR00477,P0093,2024-11-11,2024-11-17,10
PR00478,P0166,2024-11-11,2024-11-17,15
PR00479,P0204,2024-11-11,2024-11-17,10
PR00480,P0156,2024-11-11,2024-11-17,20
PR00481,P0056,2024-11-18,2024-11-24,10
PR00482,P0009,2024-11-18,2024-11-24,10
PR00483,P0267,2024-11-18,2024-11-24,10
PR00484,P0134,2024-11-18,2024-11-24,20
PR00485,P0031,2024-11-18,2024-11-24,15
PR00486,P0027,2024-11-18,2024-11-24,10
PR00487,P0020,2024-11-18,2024-11-24,15
PR00488,P0217,2024-11-18,2024-11-24,10
PR00489,P0177,2024-11-18,2024-11-24,25
PR00490,P0029,2024-11-18,2024-11-24,10
PR00491,P0160,2024-11-18,2024-11-24,20
PR00492,P0187,2024-11-18,2024-11-24,20
PR00493,P0250,2024-11-18,2024-11-24,10
PR00494,P0223,2024-11-18,2024-11-24,10
PR00495,P0220,2024-11-18,2024-11-24,15
PR00496,P0061,2024-11-18,2024-11-24,20
PR00497,P0019,2024-11-18,2024-11-24,15
PR00498,P0192,2024-11-18,2024-11-24,20
PR00499,P0242,2024-11-18,2024-11-24,20
PR00500,P0049,2024-11-18,2024-11-24,20
PR00501,P0229,2024-11-18,2024-11-24,15
PR00502,P0058,2024-11-18,2024-11-24,15
PR00503,P0068,2024-11-18,2024-11-24,20
PR00504,P0201,2024-11-18,2024-11-24,10
PR00505,P0004,2024-11-25,2024-12-01,20
PR00506,P0172,2024-11-25,2024-12-01,25
PR00507,P0128,2024-11-25,2024-12-01,15
PR00508,P0045,2024-11-25,2024-12-01,20
PR00509,P0021,2024-11-25,2024-12-01,20
PR00510,P0229,2024-11-25,2024-12-01,10
PR00511,P0239,2024-11-25,2024-12-01,10
PR00512,P0006,2024-11-25,2024-12-01,15
PR00513,P0250,2024-11-25,2024-12-01,20
PR00514,P0156,2024-11-25,2024-12-01,10
PR00515,P0098,2024-11-25,2024-12-01,20
PR00516,P0079,2024-11-25,2024-12-01,10
PR00517,P0134,2024-11-25,2024-12-01,15
PR00518,P0088,2024-11-25,2024-12-01,15
PR00519,P0056,2024-11-25,2024-12-01,10
PR00520,P0055,2024-11-25,2024-12-01,20
PR00521,P0044,2024-11-25,2024-12-01,10
PR00522,P0005,2024-11-25,2024-12-01,25
PR00523,P0010,2024-11-25,2024-12-01,10
PR00524,P0276,2024-11-25,2024-12-01,25
PR00525,P0201,2024-11-25,2024-12-01,15
PR00526,P0252,2024-11-25,2024-12-01,10
PR00527,P0169,2024-11-25,2024-12-01,10
PR00528,P0081,2024-11-25,2024-12-01,10
PR00529,P0095,2024-12-02,2024-12-08,20
PR00530,P0004,2024-12-02,2024-12-08,20
PR00531,P0296,2024-12-02,2024-12-08,15
PR00532,P0127,2024-12-02,2024-12-08,20
PR00533,P0210,2024-12-02,2024-12-08,15
PR00534,P0164,2024-12-02,2024-12-08,15
PR00535,P0114,2024-12-02,2024-12-08,10
PR00536,P0087,2024-12-02,2024-12-08,10
PR00537,P0239,2024-12-02,2024-12-08,15
PR00538,P0218,2024-12-02,2024-12-08,10
PR00539,P0105,2024-12-02,2024-12-08,20
PR00540,P0287,2024-12-02,2024-12-08,20
PR00541,P0056,2024-12-02,2024-12-08,25
PR00542,P0074,2024-12-02,2024-12-08,10
PR00543,P0169,2024-12-02,2024-12-08,25
PR00544,P0212,2024-12-02,2024-12-08,10
PR00545,P0138,2024-12-02,2024-12-08,15
PR00546,P0200,2024-12-02,2024-12-08,20
PR00547,P0059,2024-12-02,2024-12-08,10
PR00548,P0227,2024-12-02,2024-12-08,10
PR00549,P0154,2024-12-02,2024-12-08,10
PR00550,P0050,2024-12-02,2024-12-08,15
PR00551,P0145,2024-12-02,2024-12-08,20
PR00552,P0116,2024-12-02,2024-12-08,10
PR00553,P0259,2024-12-09,2024-12-15,20
PR00554,P0165,2024-12-09,2024-12-15,10
PR00555,P0209,2024-12-09,2024-12-15,15
PR00556,P0035,2024-12-09,2024-12-15,15
PR00557,P0021,2024-12-09,2024-12-15,10
PR00558,P0192,2024-12-09,2024-12-15,15
